Product Name,Model,Price,Reviews Count,1-5 Star Rating,Display Size,Page
Inspiron 15 Laptop,3520,279.99,15498,4.3,15.6,1
XPS 15 Laptop,9530,1099,5332,4.4,16.3,1
Latitude 5550 Laptop,5550,1129,347,4.5,15.6,1
Alienware m18 R2 Gaming Laptop,R2,1899.99,720,4.6,18,1
Inspiron 16 Laptop,5640,549.99,765,4.5,16,1
Inspiron 15 Laptop,3530,449.99,1843,4.5,15.6,1
Latitude 3550 Laptop,3550,759,217,4.4,15.6,1
XPS 13 Laptop,9345,1099.99,143,4,13.4,1
Inspiron 16 Laptop,5645,629.99,177,4.5,16,1
Inspiron 15 Laptop,3535,329.99,654,4.4,15.6,1
Alienware m16 R2 Gaming Laptop,R2,1399.99,955,4.7,16,1
Inspiron 14 2-in-1 Laptop,7440 2-in-1,549.99,200,4.6,14,1
G16 Gaming Laptop,7630,899.99,1022,4.3,16,2
Latitude 5450 Laptop,5450,1149,193,4.5,14,2
G15 Gaming Laptop,5530,749.99,718,4.4,15.6,2
XPS 14 Laptop,9440,999.99,396,4.3,14.5,2
Latitude 3450 Laptop,3450,749,69,4.4,14,2
Latitude 7450 Laptop or 2-in-1,7450,1669,198,4.4,14,2
Latitude 7440 Laptop,7440,1577.47,761,4.4,14,2
Inspiron 16 2-in-1 Laptop,7640 2-in-1,699.99,211,4.4,16,2
XPS 16 Laptop,9640,1699.99,534,4.3,16.3,2
XPS 13 Laptop,9340,1099,292,4.3,13.4,2
Inspiron 16 Plus Laptop,7640,949.99,411,4.3,16,2
Latitude 7650 Laptop,7650,1679,47,4.6,16,2
Inspiron 14 Plus Laptop,7440,899.99,190,4.4,14,3
Inspiron 14 Laptop,5440,599.99,136,4.4,14,3
Latitude 5430 Rugged Laptop,5430,1669,607,4.6,14,3
Inspiron 14 2-in-1 Laptop,7445 2-in-1,479.99,53,4.3,14,3
Alienware x14 R2 Gaming Laptop,R2,999.99,389,4.4,14,3
Precision 3591 Workstation,3591,1469,75,4.3,15.6,3
Precision 7780 Workstation,7780,2179,325,4.3,17.3,3
Precision 7680 Workstation,7680,1769,298,4.2,16,3
Alienware x16 R2 Gaming Laptop,R2,1599.99,123,4.4,16,3
Latitude 5440 Laptop,5440,839,694,4.4,14,3
Latitude 3340 Laptop or 2-in-1,3340,699,71,4.5,13.3,3
Precision 5690 Workstation,5690,1899,102,4.5,16,3
G15 Gaming Laptop,5535,849.99,284,4.5,15.6,4
Latitude 9450 2-in-1,9450 2-in-1,2149,52,4.5,14,4
Inspiron 14 Plus Laptop,7441,899.99,22,4.4,14,4
Precision 5490 Workstation,5490,2199,51,4.5,14,4
Latitude 7350 Detachable,7350,1599,62,4.2,13,4
Precision 3590 Workstation,3590,1409,42,4.5,15.6,4
Latitude 7350 Laptop or 2-in-1,7350,1589,41,4.1,13.3,4
Precision 3490 Workstation,3490,1189,30,4.3,14,4
Latitude 7455 Laptop,7455,1517.02,58,4.1,14,4
Latitude 7230 Rugged Extreme Tablet,7230,2529,102,4.6,12,4
Precision 5680 Workstation,5680,1441.53,419,4.4,16,4
Latitude 5350 Laptop or 2-in-1,5350,1279,28,4.5,13.3,4
Latitude 7340 Laptop or 2-in-1,7340,1149,173,4.4,13.3,5
Latitude 7330 Rugged Extreme Laptop,7330,3359,51,4.3,13.3,5
XPS 13 Laptop,9350,1399.99,,,13.4,5
Chromebook 3110 Laptop,3110,256.75,452,4.5,11.6,5
Latitude 7030 Rugged Extreme Tablet,7030,2649.99,19,4.6,10.1,5
Latitude 5455 Laptop,5455,1019,,,14,5
Chromebook 3110 2-in-1,3110 2-in-1,365.3,181,4.5,11.6,5
Inspiron 14 Plus Laptop,7430,749.99,25,4,14,5
Dell Pro Rugged 14 Laptop,RB14250,2119,,,14,5
Chromebook 3120 Laptop or 2-in-1,3120 2-in-1,318.43,14,4.2,11.6,5
Latitude 3140 Laptop or 2-in-1,3140,341.28,352,3.9,11.6,5
Inspiron 14 Laptop,5441,749.99,,,14,5
Latitude 5340 Laptop or 2-in-1,5340,1059,85,4.3,13.3,6
Dell Pro Rugged 13 Laptop,RA13250,4169,,,13.3,6
Inspiron 16 Laptop,5630,599.99,3531,4.5,16,6
Inspiron 16 Plus Laptop,7630,899.99,1179,4.4,16,6
Latitude 9440 2-in-1,9440 2-in-1,1589,237,4.6,14,6
Latitude 5540 Laptop,5540,879,1746,4.5,15.6,6
Latitude 7640 Laptop,7640,1205.93,224,4.6,16,6
